feature,cs-COSTRA,cs-COSTRA,cs-COSTRA,es-Newsela01,es-Newsela01,es-Newsela01,en-Newsela_2015,en-Newsela_2015,en-Newsela_2015,en-Newsela_201601,en-Newsela_201601,en-Newsela_201601
get_ratio_of_symbols,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,
get_ratio_of_verbs,0.12$\pm$0.07,0.15$\pm$0.08,**,0.09$\pm$0.05,0.09$\pm$0.05,*,0.16$\pm$0.07,0.17$\pm$0.08,*,0.17$\pm$0.07,0.17$\pm$0.07,*
get_ratio_prepositional_phrases,0.09$\pm$0.07,0.08$\pm$0.08,,0.13$\pm$0.06,0.12$\pm$0.06,*,0.01$\pm$0.02,0.01$\pm$0.02,,0.01$\pm$0.02,0.01$\pm$0.02,
get_ratio_referential,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,
get_ratio_relative_phrases,0.01$\pm$0.03,0.01$\pm$0.03,,0.02$\pm$0.02,0.02$\pm$0.02,,0.02$\pm$0.03,0.01$\pm$0.03,*,0.02$\pm$0.02,0.02$\pm$0.02,
get_type_token_ratio,0.97$\pm$0.05,0.97$\pm$0.05,,0.86$\pm$0.09,0.87$\pm$0.09,*,0.89$\pm$0.08,0.93$\pm$0.07,***,0.88$\pm$0.08,0.88$\pm$0.09,
is_non_projective,0.02$\pm$0.14,0.04$\pm$0.2,,0.03$\pm$0.18,0.03$\pm$0.17,,0.02$\pm$0.13,0.01$\pm$0.1,,0.02$\pm$0.14,0.02$\pm$0.13,
max_pos_in_freq_table,10.69$\pm$0.35,10.49$\pm$0.65,**,10.45$\pm$0.74,10.41$\pm$0.77,*,10.82$\pm$0.02,10.82$\pm$0.04,,10.81$\pm$0.21,10.81$\pm$0.21,
sentence_fkgl,15.38$\pm$5.06,14.24$\pm$4.94,**,20.28$\pm$6.23,19.4$\pm$5.73,**,12.63$\pm$4.57,8.73$\pm$3.56,***,12.46$\pm$5.23,11.99$\pm$4.99,*
sentence_fre,2.38$\pm$36.01,7.4$\pm$36.56,*,-0.81$\pm$27.45,1.58$\pm$27.18,*,45.79$\pm$20.75,59.51$\pm$20.64,***,45.05$\pm$24.39,47.03$\pm$23.81,*
N,,293,,,7529,,,141582,,,69185,
